location	Definitief Ontwerp	Vegetatie 1997
2.5	-0.00163	-0.01087
2.6	-0.0021	-0.01384
2.7	-0.00203	-0.01758
2.8	-0.00217	-0.02
2.9	-0.00232	-0.02309
3	-0.00297	-0.03434
3.1	-0.00299	-0.06083
3.2	-0.00339	-0.07261
3.3	-0.00449	-0.08733
3.4	-0.00759	-0.0797
3.5	-0.00752	-0.06953
3.6	-0.00889	-0.0545
3.7	-0.00909	-0.05509
3.8	-0.0095	-0.06017
3.9	-0.0093	-0.0592
4	-0.00946	-0.0597
4.1	-0.00953	-0.05903
4.2	-0.00912	-0.05789
4.3	-0.00909	-0.05504
4.4	-0.0092	-0.06327
4.5	-0.0092	-0.07213
4.6	-0.01015	-0.06941
4.7	-0.00982	-0.06113
4.8	-0.01011	-0.04682
4.9	-0.01082	-0.04345
5	-0.01031	-0.0573
5.1	-0.01055	-0.06025
5.2	-0.0106	-0.05559
5.2	-0.0106	-0.05559
5.3	-0.0107	-0.05247
5.3	-0.0107	-0.05247
5.4	-0.01087	-0.04419
5.4	-0.01087	-0.04419
5.5	-0.01083	-0.04596
5.5	-0.01083	-0.04596
5.6	-0.01097	-0.04417
5.6	-0.01097	-0.04417
5.7	-0.0111	-0.04466
5.7	-0.0111	-0.04466
5.8	-0.01096	-0.04636
5.8	-0.01096	-0.04636
5.9	-0.01105	-0.05011
5.9	-0.01105	-0.05011
6	-0.0112	-0.05082
6.1	-0.01197	-0.04895
6.2	-0.0128	-0.04134
6.3	-0.01335	-0.03656
6.4	-0.01391	-0.03447
6.5	-0.01427	-0.03495
6.6	-0.01425	-0.03691
6.7	-0.01446	-0.03813
6.8	-0.01515	-0.04708
6.9	-0.01526	-0.04546
7	-0.01599	-0.03078
7.1	-0.01564	-0.0304
7.2	-0.01594	-0.03446
7.3	-0.01609	-0.03529
7.4	-0.0161	-0.03546
7.5	-0.01603	-0.03064
7.6	-0.01588	-0.02971
7.7	-0.01585	-0.03159
7.8	-0.01582	-0.03118
7.9	-0.01591	-0.03199
8	-0.01656	-0.03373
8.1	-0.01632	-0.03482
8.2	-0.01693	-0.03409
8.3	-0.01677	-0.03376
8.4	-0.01699	-0.03433
8.5	-0.01687	-0.03462
8.6	-0.01675	-0.03471
8.7	-0.01678	-0.03534
8.8	-0.0168	-0.03744
8.9	-0.01691	-0.03678
9	-0.01694	-0.0364
9.1	-0.01698	-0.03644
9.2	-0.0169	-0.03641
9.3	-0.01713	-0.03648
9.4	-0.01734	-0.03548
9.5	-0.01779	-0.03549
9.6	-0.01834	-0.03337
9.7	-0.01987	-0.02996
9.8	-0.02227	-0.02579
9.9	-0.02441	-0.03049
10	-0.02573	-0.03057
10.1	-0.02623	-0.02951
10.2	-0.02647	-0.02922
10.3	-0.02686	-0.02969
10.4	-0.0267	-0.03157
10.5	-0.02723	-0.03492
10.6	-0.02792	-0.03468
10.7	-0.02694	-0.03091
10.8	-0.02816	-0.03064
10.9	-0.03135	-0.03053
11	-0.03307	-0.02974
11.1	-0.03673	-0.02759
11.2	-0.03773	-0.02299
11.3	-0.0005	0.00691
11.4	0.02911	0.02664
11.5	0.03371	0.0233
11.6	0.02029	0.0175
11.7	0.01853	0.016
11.8	0.02409	0.01395
11.9	0.02	0.00995
12	0.01822	0.00742
12.1	0.01194	0.00316
12.2	0.00676	-0.00043
12.3	0.00444	-0.00151
12.4	0.00374	-0.00214
12.5	0.00391	-0.00255
12.6	0.00325	-0.00449
12.7	0.00263	-0.00517
12.8	0.00207	-0.005
12.9	0.00291	-0.00437
13	0.00246	-0.00459
13.2	-0.00065	-0.00471
13.3	0.00028	-0.00428
13.4	0.00043	-0.00361
13.5	0.00011	0.00365
13.6	0.00035	0.00385
13.7	0.00014	0.00115
13.8	0.00005	0.00021
