nummer	first	minumum	min13	min25	maximum	max13	max25	last	last13	last25	naam
 1	17.7863	17.7833	0.0000	0.0000	17.7863	0.0000	0.0000	17.7833	17.7834	17.7834	Lobith
 2	16.7743	16.7694	0.0000	0.0000	16.7744	0.0000	0.0000	16.7694	16.7698	16.7698	Pannerdenschekop
 3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	IJsselkop
 4	16.6600	16.6560	0.0000	0.0000	16.6600	0.0000	0.0000	16.6561	16.6564	16.6564	POV boven
 5	15.9529	15.9485	0.0000	0.0000	15.9529	0.0000	0.0000	15.9486	15.9487	15.9487	POV beneden
 6	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	854.00 Br
 7	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	855.00 Br
 8	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	856.00 Br
 9	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	857.00 Br
10	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	858.00 Br
11	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	859.00 Br
12	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	860.00 Br
13	18.1196	18.1169	0.0000	0.0000	18.1196	0.0000	0.0000	18.1170	18.1170	18.1170	861.00 Br
14	17.8767	17.8738	0.0000	0.0000	17.8767	0.0000	0.0000	17.8738	17.8738	17.8739	862.00 Br
15	17.5464	17.5433	0.0000	0.0000	17.5465	0.0000	0.0000	17.5435	17.5435	17.5436	863.00 Br
16	17.3070	17.3035	0.0000	0.0000	17.3070	0.0000	0.0000	17.3037	17.3037	17.3038	864.00 Br
17	17.0227	17.0188	0.0000	0.0000	17.0228	0.0000	0.0000	17.0193	17.0191	17.0192	865.00 Br
18	16.9754	16.9714	0.0000	0.0000	16.9758	0.0000	0.0000	16.9722	16.9719	16.9719	866.00 Br
19	16.8153	16.8105	16.8110	0.0000	16.8155	0.0000	0.0000	16.8106	16.8110	16.8110	867.00 Br
20	16.7097	16.7045	16.7050	0.0000	16.7097	0.0000	0.0000	16.7046	16.7049	16.7049	868.00 Wa
21	16.6370	16.6319	0.0000	0.0000	16.6370	0.0000	0.0000	16.6319	16.6321	16.6321	869.00 Wa
22	16.5952	16.5900	0.0000	0.0000	16.5952	0.0000	0.0000	16.5903	16.5902	16.5903	870.00 Wa
23	16.4548	16.4491	16.4494	0.0000	16.4548	0.0000	0.0000	16.4493	16.4494	16.4495	871.00 Wa
24	16.3784	16.3721	0.0000	0.0000	16.3784	0.0000	0.0000	16.3721	16.3724	16.3725	872.00 Wa
25	16.2481	16.2416	0.0000	0.0000	16.2481	0.0000	0.0000	16.2416	16.2418	16.2419	873.00 Wa
26	16.1760	16.1693	0.0000	0.0000	16.1760	0.0000	0.0000	16.1695	16.1695	16.1696	874.00 Wa
27	16.0713	16.0640	0.0000	0.0000	16.0713	0.0000	0.0000	16.0641	16.0641	16.0642	875.00 Wa
28	15.9504	15.9426	0.0000	0.0000	15.9504	0.0000	0.0000	15.9426	15.9428	15.9429	876.00 Wa
29	16.6970	16.6917	16.6921	0.0000	16.6970	0.0000	0.0000	16.6917	16.6921	16.6921	868.00 Pk
30	16.2782	16.2744	16.2749	0.0000	16.2785	0.0000	0.0000	16.2749	16.2748	16.2749	869.00 Pk
31	15.8863	15.8837	0.0000	0.0000	15.8867	0.0000	0.0000	15.8842	15.8841	15.8841	870.00 Pk
32	15.6933	15.6910	15.6916	0.0000	15.6942	0.0000	0.0000	15.6919	15.6916	15.6917	871.00 Pk
33	15.5514	15.5491	15.5493	15.5493	15.5515	0.0000	0.0000	15.5491	15.5493	15.5493	872.00 Pk
34	15.3574	15.3558	0.0000	0.0000	15.3574	0.0000	0.0000	15.3559	15.3560	15.3560	873.00 Pk
35	15.1772	15.1765	15.1766	0.0000	15.1773	0.0000	0.0000	15.1766	15.1765	15.1766	874.00 Pk
36	15.0781	15.0777	15.0778	15.0778	15.0782	0.0000	0.0000	15.0777	15.0778	15.0778	875.00 Pk
37	14.9814	14.9812	14.9813	14.9813	14.9814	0.0000	0.0000	14.9813	14.9813	14.9813	876.00 Pk
38	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	877.00 Pk
39	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	878.00 Pk
40	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	879.00 Nr
41	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	880.00 Nr
42	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	881.00 Nr
43	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	882.00 Nr
44	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	883.00 Nr
45	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	884.00 Nr
46	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	885.00 Nr
47	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	886.00 Nr
48	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	887.00 Nr
49	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	888.00 Nr
50	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	889.00 Nr
51	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	890.00 Nr
52	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	891.00 Nr
53	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	892.00 Nr
54	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	893.00 Nr
55	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	894.00 Nr
56	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	879.00 Ys
57	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	880.00 Ys
58	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	881.00 Ys
59	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	882.00 Ys
60	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	883.00 Ys
61	15.3097	15.3083	0.0000	0.0000	15.3097	0.0000	0.0000	15.3085	15.3085	15.3085	873.300 benedenr1 PK
62	15.2610	15.2598	0.0000	0.0000	15.2611	0.0000	0.0000	15.2600	15.2600	15.2600	873.500 benedenr2 PK
63	16.2259	16.2225	0.0000	0.0000	16.2264	0.0000	0.0000	16.2231	16.2228	16.2229	869.3 bovenr proj PO
64	17.0959	17.0920	17.0922	0.0000	17.0959	0.0000	0.0000	17.0921	17.0922	17.0922	864.800
65	16.9931	16.9893	0.0000	0.0000	16.9935	0.0000	0.0000	16.9900	16.9897	16.9898	865.300
66	16.9876	16.9837	0.0000	0.0000	16.9880	0.0000	0.0000	16.9845	16.9841	16.9842	865.500
